,videoId,likes,dislikes,viewCount
0,_zUMrdXxJJA,999,1470,48392
1,DotnJ7tTA34,252328,60976,23624016
2,Gtl-6RCOl84,79009,910,3239766
3,-ojckacr9EA,768,126,112647
4,l3oWrNQo_Ng,26154,392,3859856
5,OaQvsFIB4Uw,23300,396,1475051
6,oHqfe3LcOOE,52414,833,6647940
7,TftAFQflBy8,7311,239,9634818
8,vM-Bja2Gy04,651666,20181,31228338
9,OP_WC5oOCe8,27422,1143,9113317
10,UTc5I86to_8,11503,436,4995601
11,Iwm0IO-NFRM,8359,3299,8456789
12,9j_StJNMtu0,2002,36,288686
13,_Gr2zXuEBL0,12257,574,9006443
14,WHXq62VCaCM,40584,1916,15508851
15,VeAdKmTDsxQ,3705,137,238045
16,e0snO6g1tdY,3376,458,393299
17,fFGS4zZWGoA,720744,10475,27347918
18,lvWgNSLIULw,9552,321,5858699
19,FEchWX525Es,1166,1686,95861
20,nAg6RTQEfeM,53414,1727,12109003
21,JIThBMSABTo,73868,2527,2026083
22,a8M3GttfDn8,511,13,71809
23,nPcyeDstbdk,5599,139,261055
24,zRpHyvuJ__A,2297,145,172007
25,ooCxmWjhca8,1008,108,45903
26,oZQ8wJXPZvI,1934,78,246786
27,RHq0c7TZBH0,484,5,94058
28,wiQSsrQCG6c,3036,135,459753
29,Fqlz8QsNHC8,1330,69,215167
30,zutsDNxPJ8M,324,21,24972
31,zpUTDuGIddQ,1038,4820,2133730
32,azNDOKOsQro,3564,357,845339
33,aadqaw6vy24,314,34,25932
34,t3aDufvQh_c,2811,93,251331
35,90eBBlt5-rc,3005,178,208577
36,BaBbd_P--JM,1310,31,94884
37,FoKpTx5JPfA,416,82,22273
38,m-1dyJFwNQw,715,202,55074
39,z6LCD7nyD0s,27365,375,768406
40,a45Xj7tfm8E,1281,22,133545
41,awztG587ghI,484,396,1355600
42,HzQCOcZkKJ8,48316,1059,1499520
43,fuNcrRMkwtQ,890,48,117242
44,ij1Xg2CIXtI,665,323,67283
45,pvm7gpkx8MI,772,61,70669
46,clk2ClBOGTM,30019,2842,22101208
47,TfNwbYxMUrI,15728,403,423254
48,xgTpwPEggdg,865,24,26600
49,_9-oBrENwdQ,282,26,24591
50,iang9SWVmdI,4341,91,359209
51,mepeWor5JPk,9154,803,7895885
52,QeoeTRm4Xes,1879,28,77232
53,8f0P6iEHOrY,4697,83,107782
54,qiEp_hDqnrE,1043,22,38084
55,xFE8ASwxmpA,19500,575,5125712
56,EmySj8SqfCI,483,27,22045
57,dGqUKFKksxQ,1574,68,83018
58,UbtNbtWqrx4,2574,67,194648
59,mqg48h_uKYM,10735,229,1969495
60,Bd5K84MOv6Y,628,66,71386
61,bvHy_X8U7ng,185,63,17604
62,qzk43SX9vxg,7544,124,199726
63,K71Uv4K9YA8,3104,62,136664
64,6PNSk7M-vGU,2416,25,114764
65,vTk3nLrW-sc,5701,108,192656
66,cDcs6N44Aok,12565,293,584483
