,Unnamed: 0,channelId,videoId,videoTitle,publishTime,publishedAt,title_lowered,is_trailer
0,0,UCIrgJInjLS2BhlHOMDW7v0g,XIT1u0DxuRs,Elton John Live: Farewell from Dodger Stadium | Official Trailer | Disney+,2022-11-14T14:03:12Z,2022-11-14T14:03:12Z,elton john live: farewell from dodger stadium | official trailer | disney+,True
1,1,UCIrgJInjLS2BhlHOMDW7v0g,fnn9zEQbqI0,If These Walls Could Sing | Official Trailer | Disney+,2022-11-14T19:00:07Z,2022-11-14T19:00:07Z,if these walls could sing | official trailer | disney+,True
2,2,UCIrgJInjLS2BhlHOMDW7v0g,QOTKWuIlmh8,National Treasure: Edge Of History | Official Trailer | Disney+,2022-09-10T23:32:54Z,2022-09-10T23:32:54Z,national treasure: edge of history | official trailer | disney+,True
3,3,UCIrgJInjLS2BhlHOMDW7v0g,6Of1wKwGVPo,The Santa Clauses | Official Trailer | Disney+,2022-10-27T16:03:37Z,2022-10-27T16:03:37Z,the santa clauses | official trailer | disney+,True
5,5,UCIrgJInjLS2BhlHOMDW7v0g,L2GVrR8233E,Just Beyond | Official Trailer | Disney+,2021-09-30T16:00:04Z,2021-09-30T16:00:04Z,just beyond | official trailer | disney+,True
6,6,UCIrgJInjLS2BhlHOMDW7v0g,jcQhT_HZx8s,Soundtrack #1 | Official Trailer | Disney+,2022-10-19T18:00:18Z,2022-10-19T18:00:18Z,soundtrack #1 | official trailer | disney+,True
7,7,UCIrgJInjLS2BhlHOMDW7v0g,5vmaG3MUrYg,Sneakerella | Official Trailer | Disney+,2022-04-08T17:55:16Z,2022-04-08T17:55:16Z,sneakerella | official trailer | disney+,True
8,8,UCIrgJInjLS2BhlHOMDW7v0g,QFwJJywzbDs,Ice Age: Scrat Tales | Official Trailer | Disney+,2022-03-29T15:00:20Z,2022-03-29T15:00:20Z,ice age: scrat tales | official trailer | disney+,True
9,9,UCIrgJInjLS2BhlHOMDW7v0g,HJ6iehLtmtY,Mickey: The Story of a Mouse | Official Trailer | Disney+,2022-11-02T18:00:12Z,2022-11-02T18:00:12Z,mickey: the story of a mouse | official trailer | disney+,True
10,10,UCIrgJInjLS2BhlHOMDW7v0g,9S9YDP9TLFU,The Mysterious Benedict Society season 2 | Official Trailer | Disney+,2022-10-07T19:00:02Z,2022-10-07T19:00:02Z,the mysterious benedict society season 2 | official trailer | disney+,True
