,channelId,videoId,videoTitle,publishTime,publishedAt,title_lowered,is_trailer
1,UCx-KWLTKlB83hDI6UKECtJQ,_zUMrdXxJJA,"Love, Lizzo | Official Trailer | HBO Max",2022-11-10T17:17:31Z,2022-11-10T17:17:31Z,"love, lizzo | official trailer | hbo max",True
2,UCx-KWLTKlB83hDI6UKECtJQ,DotnJ7tTA34,House of the Dragon | Official Trailer | HBO Max,2022-07-20T17:00:16Z,2022-07-20T17:00:16Z,house of the dragon | official trailer | hbo max,True
5,UCx-KWLTKlB83hDI6UKECtJQ,Gtl-6RCOl84,The Fallout | Official Trailer | HBO Max,2022-01-18T17:00:28Z,2022-01-18T17:00:28Z,the fallout | official trailer | hbo max,True
6,UCx-KWLTKlB83hDI6UKECtJQ,-ojckacr9EA,GARCIA! | Official Trailer | HBO MAX,2022-10-25T16:01:20Z,2022-10-25T16:01:20Z,garcia! | official trailer | hbo max,True
7,UCx-KWLTKlB83hDI6UKECtJQ,l3oWrNQo_Ng,Tokyo Vice | Official Trailer | HBO Max,2022-03-14T16:00:17Z,2022-03-14T16:00:17Z,tokyo vice | official trailer | hbo max,True
8,UCx-KWLTKlB83hDI6UKECtJQ,OaQvsFIB4Uw,"What Happened, Brittany Murphy? | Official Trailer | HBO Max",2021-10-07T17:00:12Z,2021-10-07T17:00:12Z,"what happened, brittany murphy? | official trailer | hbo max",True
9,UCx-KWLTKlB83hDI6UKECtJQ,oHqfe3LcOOE,Moonshot | Official Trailer | HBO Max,2022-03-10T17:00:37Z,2022-03-10T17:00:37Z,moonshot | official trailer | hbo max,True
10,UCx-KWLTKlB83hDI6UKECtJQ,TftAFQflBy8,The Staircase | Official Trailer | HBO Max,2022-04-21T17:00:08Z,2022-04-21T17:00:08Z,the staircase | official trailer | hbo max,True
11,UCx-KWLTKlB83hDI6UKECtJQ,vM-Bja2Gy04,Zack Snyder&#39;s Justice League | Official Trailer | HBO Max,2021-02-14T15:15:16Z,2021-02-14T15:15:16Z,zack snyder&#39;s justice league | official trailer | hbo max,True
13,UCx-KWLTKlB83hDI6UKECtJQ,OP_WC5oOCe8,The Flight Attendant | Official Trailer | HBOMax,2020-10-20T17:12:24Z,2020-10-20T17:12:24Z,the flight attendant | official trailer | hbomax,True
14,UCx-KWLTKlB83hDI6UKECtJQ,UTc5I86to_8,Minx | Official Trailer | HBO Max,2022-03-03T20:00:30Z,2022-03-03T20:00:30Z,minx | official trailer | hbo max,True
15,UCx-KWLTKlB83hDI6UKECtJQ,ZrdQSAX2kyw,Zack Snyder’s Justice League | Official Trailer #2 | HBO Max,2021-03-14T19:32:17Z,2021-03-14T19:32:17Z,zack snyder’s justice league | official trailer #2 | hbo max,True
16,UCx-KWLTKlB83hDI6UKECtJQ,Iwm0IO-NFRM,Father of the Bride | Official Trailer | HBO Max,2022-05-09T15:00:12Z,2022-05-09T15:00:12Z,father of the bride | official trailer | hbo max,True
17,UCx-KWLTKlB83hDI6UKECtJQ,9j_StJNMtu0,The Tourist | Official Trailer | HBO Max,2022-02-10T16:59:46Z,2022-02-10T16:59:46Z,the tourist | official trailer | hbo max,True
18,UCx-KWLTKlB83hDI6UKECtJQ,_Gr2zXuEBL0,KIMI | Official Trailer | HBO Max,2022-01-11T17:00:34Z,2022-01-11T17:00:34Z,kimi | official trailer | hbo max,True
20,UCx-KWLTKlB83hDI6UKECtJQ,WHXq62VCaCM,Peacemaker | Official Trailer | HBO Max,2021-12-03T14:00:31Z,2021-12-03T14:00:31Z,peacemaker | official trailer | hbo max,True
21,UCx-KWLTKlB83hDI6UKECtJQ,VeAdKmTDsxQ,Paradise | Official Trailer | HBO Max,2021-10-14T16:56:09Z,2021-10-14T16:56:09Z,paradise | official trailer | hbo max,True
22,UCx-KWLTKlB83hDI6UKECtJQ,e0snO6g1tdY,A Christmas Story Christmas | Official Trailer | HBO Max,2022-11-01T16:00:18Z,2022-11-01T16:00:18Z,a christmas story christmas | official trailer | hbo max,True
23,UCx-KWLTKlB83hDI6UKECtJQ,fFGS4zZWGoA,Harry Potter 20th Anniversary: Return to Hogwarts | Official Trailer | HBO Max,2021-12-20T16:01:07Z,2021-12-20T16:01:07Z,harry potter 20th anniversary: return to hogwarts | official trailer | hbo max,True
25,UCx-KWLTKlB83hDI6UKECtJQ,lvWgNSLIULw,Made For Love | Official Trailer | HBO Max,2021-03-22T21:03:48Z,2021-03-22T21:03:48Z,made for love | official trailer | hbo max,True
