Unnamed: 0,videoId,commentId,textOriginal,likeCount,publishedAt,id,sentiment,annotator,annotation_id,created_at,updated_at,lead_time
10976,L_U6_PqFDC4,Ugg1_WTcjih0aXgCoAEC,Finаlly I've fоound full I Love Dicck movie hеre => https://twitter.com/2bdeb0e9cf43c54b2/status/867561296459251713,0,2017-06-26T04:11:09Z,10981,Not applicable,3,1722,2022-12-12T16:14:01.149762Z,2022-12-12T16:14:01.149762Z,1.824
10976,L_U6_PqFDC4,Ugg1_WTcjih0aXgCoAEC,Finаlly I've fоound full I Love Dicck movie hеre => https://twitter.com/2bdeb0e9cf43c54b2/status/867561296459251713,0,2017-06-26T04:11:09Z,10981,Not applicable,2,1130,2022-12-12T15:11:03.868407Z,2022-12-12T15:11:03.868407Z,3.726
10976,L_U6_PqFDC4,Ugg1_WTcjih0aXgCoAEC,Finаlly I've fоound full I Love Dicck movie hеre => https://twitter.com/2bdeb0e9cf43c54b2/status/867561296459251713,0,2017-06-26T04:11:09Z,10981,Not applicable,4,1107,2022-12-12T15:07:47.425271Z,2022-12-12T15:07:47.425271Z,6.533
15,q9vdHoxuaQc,Ugw8-XR4KEaj_WkUpfp4AaABAg,Clarkson needs to have a break from driving mode to the Quiz mode,0,2022-10-07T19:03:41Z,20,Neutral,3,1721,2022-12-12T16:13:55.458554Z,2022-12-12T16:13:55.458554Z,3.483
15,q9vdHoxuaQc,Ugw8-XR4KEaj_WkUpfp4AaABAg,Clarkson needs to have a break from driving mode to the Quiz mode,0,2022-10-07T19:03:41Z,20,Neutral,4,1165,2022-12-12T15:21:44.444512Z,2022-12-12T15:21:44.444512Z,8.242
15,q9vdHoxuaQc,Ugw8-XR4KEaj_WkUpfp4AaABAg,Clarkson needs to have a break from driving mode to the Quiz mode,0,2022-10-07T19:03:41Z,20,Neutral,2,1094,2022-12-12T15:03:01.631750Z,2022-12-12T15:03:01.631750Z,4.842
4,q9vdHoxuaQc,Ugyydo9XElJ5hkeSh4d4AaABAg,OH I just understood the pun in the name and why the drive rally cars. . . a scandinavian flick,0,2022-10-31T11:51:01Z,9,Neutral,3,1720,2022-12-12T16:13:47.377336Z,2022-12-12T16:13:47.377336Z,11.871
4,q9vdHoxuaQc,Ugyydo9XElJ5hkeSh4d4AaABAg,OH I just understood the pun in the name and why the drive rally cars. . . a scandinavian flick,0,2022-10-31T11:51:01Z,9,Neutral,2,10,2022-12-12T13:46:45.971545Z,2022-12-12T13:46:45.971545Z,12.247
4,q9vdHoxuaQc,Ugyydo9XElJ5hkeSh4d4AaABAg,OH I just understood the pun in the name and why the drive rally cars. . . a scandinavian flick,0,2022-10-31T11:51:01Z,9,Neutral,4,7,2022-12-12T13:44:30.843116Z,2022-12-12T13:44:30.843116Z,14.787
1,q9vdHoxuaQc,Ugy2EZ3J6Dd0cbgCNAZ4AaABAg,When do we get the combo adventure of the Grand Tour and Car Trek?,0,2022-12-01T01:43:10Z,6,Neutral,3,1719,2022-12-12T16:13:09.150824Z,2022-12-12T16:13:09.150824Z,3.341
1,q9vdHoxuaQc,Ugy2EZ3J6Dd0cbgCNAZ4AaABAg,When do we get the combo adventure of the Grand Tour and Car Trek?,0,2022-12-01T01:43:10Z,6,Neutral,2,15,2022-12-12T13:48:36.935317Z,2022-12-12T13:48:36.935317Z,17.076
1,q9vdHoxuaQc,Ugy2EZ3J6Dd0cbgCNAZ4AaABAg,When do we get the combo adventure of the Grand Tour and Car Trek?,0,2022-12-01T01:43:10Z,6,Neutral,4,4,2022-12-12T13:36:59.686015Z,2022-12-12T13:36:59.686015Z,7.383
13,q9vdHoxuaQc,UgweKW9oCnYQvE1As6h4AaABAg,"Just watched this and... sadly,  I fell asleep less than half way through 😞

I have really loved TGT and it was the sole reason I signed up for Prime but I have to say that we need something fresh from the boys.  It all feels *very* strained and the scripting is so obvious it feels like the spontaneity has totally gone.   Come on guys... you know you can do better 😕",1,2022-10-08T19:13:21Z,18,Negative,3,1718,2022-12-12T16:13:02.285681Z,2022-12-12T16:13:02.285681Z,38.105
13,q9vdHoxuaQc,UgweKW9oCnYQvE1As6h4AaABAg,"Just watched this and... sadly,  I fell asleep less than half way through 😞

I have really loved TGT and it was the sole reason I signed up for Prime but I have to say that we need something fresh from the boys.  It all feels *very* strained and the scripting is so obvious it feels like the spontaneity has totally gone.   Come on guys... you know you can do better 😕",1,2022-10-08T19:13:21Z,18,Negative,2,1092,2022-12-12T15:02:52.299045Z,2022-12-12T15:02:52.299045Z,4.823
13,q9vdHoxuaQc,UgweKW9oCnYQvE1As6h4AaABAg,"Just watched this and... sadly,  I fell asleep less than half way through 😞

I have really loved TGT and it was the sole reason I signed up for Prime but I have to say that we need something fresh from the boys.  It all feels *very* strained and the scripting is so obvious it feels like the spontaneity has totally gone.   Come on guys... you know you can do better 😕",1,2022-10-08T19:13:21Z,18,Negative,4,1090,2022-12-12T15:02:51.111100Z,2022-12-12T15:02:51.112093Z,5.972
122,q9vdHoxuaQc,UgxQUSwAlFzqeqz4-KB4AaABAg,what an annoying music in the background,0,2022-09-16T09:35:15Z,127,Negative,4,1717,2022-12-12T16:12:22.523294Z,2022-12-12T16:12:22.523294Z,2.397
0,q9vdHoxuaQc,Ugxk05OtgYcJk-VdfDt4AaABAg,Who's already started the countdown to the 16th of September? 🙌,705,2022-08-25T13:49:04Z,5,Positive,3,1716,2022-12-12T16:12:21.398286Z,2022-12-12T16:12:21.398286Z,1.981
0,q9vdHoxuaQc,Ugxk05OtgYcJk-VdfDt4AaABAg,Who's already started the countdown to the 16th of September? 🙌,705,2022-08-25T13:49:04Z,5,Positive,4,1162,2022-12-12T15:21:17.231637Z,2022-12-12T15:21:17.231637Z,2.51
0,q9vdHoxuaQc,Ugxk05OtgYcJk-VdfDt4AaABAg,Who's already started the countdown to the 16th of September? 🙌,705,2022-08-25T13:49:04Z,5,Positive,2,3,2022-12-12T13:35:23.409227Z,2022-12-12T13:35:42.868871Z,23.359
