,id,release_date_us
0,tt13622290,24 November 2022
1,tt11198330,22 August 2022
2,tt11847410,27 January 2022
3,tt14599306,28 October 2022
4,tt2887954,7 April 2022
5,tt12585076,31 March 2022
6,tt11324406,5 May 2022
7,tt12361974,18 March 2021
8,tt7569576,26 November 2020
9,tt11947418,17 March 2022
10,tt13249596,16 June 2022
11,tt11847842,3 March 2022
12,tt14128670,10 February 2022
13,tt13146488,13 January 2022
14,tt17220704,17 November 2022
15,tt16116174,1 January 2022
16,tt7808566,1 April 2021
17,tt9170108,3 September 2020
18,tt10838180,22 December 2021
19,tt18950688,21 April 2022
20,tt11945774,15 April 2021
21,tt11173138,22 October 2020
22,tt15286764,30 September 2021
23,tt10846464,27 August 2020
24,tt11188392,9 July 2020
25,tt12539222,26 October 2021
26,tt6075088,2 September 2020
27,tt15141288,26 August 2021
28,tt15590294,31 March 2022
29,tt15078488,19 August 2021
30,tt1160419,21 October 2021
31,tt10016180,28 January 2021
32,tt12736220,22 October 2020
33,tt5034838,25 March 2021
34,tt15588224,13 January 2022
35,tt0805647,29 October 2020
36,tt8594276,14 June 2019
37,tt13061914,14 January 2021
38,tt6723592,26 August 2020
39,tt11000902,3 March 2022
40,tt1924245,16 September 2021
41,tt12762460,30 June 2022
42,tt11015214,27 August 2020
43,tt9620288,19 November 2021
44,tt13142526,14 April 2022
45,tt14630348,16 June 2021
46,tt14812994,22 July 2021
47,tt12929230,20 August 2020
48,tt10975574,31 March 2022
49,tt12408026,24 September 2021
50,tt11609976,26 November 2020
51,tt12708500,27 August 2020
52,tt3554046,15 July 2021
53,tt18332840,3 March 2022
54,tt10244600,7 March 2022
55,tt22033610,14 October 2022
56,tt9140342,23 January 2021
57,tt15766708,4 November 2021
58,tt11650736,29 July 2021
59,tt12545180,2 June 2022
60,tt10569810,10 March 2021
61,tt11394650,11 June 2020
62,tt11210146,26 October 2021
63,tt6994156,14 September 2020
64,tt22748100,17 November 2022
65,tt3272066,20 August 2021
66,tt11540284,24 November 2021
67,tt10773194,1 June 2022
68,tt11525644,1 July 2021
69,tt11188206,7 October 2021
70,tt12861470,17 December 2020
71,tt7945066,26 January 2019
72,tt8368380,11 February 2021
73,tt21849434,16 September 2022
74,tt14379784,28 October 2022
75,tt13070038,25 August 2022
76,tt6654210,9 September 2021
77,tt13069986,2 September 2021
78,tt7631058,2 September 2022
79,tt10541088,11 June 2021
80,tt13009160,30 September 2022
81,tt10228134,23 July 2021
82,tt11044858,13 October 2020
83,tt1190634,26 July 2019
84,tt2180339,18 March 2022
85,tt13139228,4 November 2022
86,tt7886936,10 November 2020
87,tt8303474,25 September 2020
88,tt9288030,4 February 2022
89,tt3758814,25 June 2021
90,tt11302324,3 January 2020
91,tt12298506,6 October 2020
92,tt7737786,24 September 2020
93,tt10641510,16 August 2019
94,tt3706352,8 April 2022
95,tt9243804,30 July 2021
96,tt13356646,21 May 2021
97,tt7492014,29 October 2021
98,tt14376098,9 June 2022
99,tt7638348,5 March 2021
100,tt10662040,16 August 2019
101,tt7945440,6 October 2020
102,tt6628364,9 June 2017
103,tt12530128,21 January 2022
104,tt9354944,11 October 2019
105,tt10155932,3 September 2021
106,tt7985540,27 July 2018
107,tt5788792,17 March 2017
108,tt11181824,27 April 2022
