videoId;tconst
fVy8uODSPiQ;tt11609976
dhJrnNdH-aw;tt11188206
CPIcAkLBV-U;tt11540284
mqg48h_uKYM;tt11015214
dGqUKFKksxQ;tt1924245
z6LCD7nyD0s;tt1160419
zpUTDuGIddQ;tt11188392
Iwm0IO-NFRM;tt13249596
HzQCOcZkKJ8;tt5034838
QgwI0jXEzOI;tt10653784
LFZhq7y_hfg;tt7658402
fFGS4zZWGoA;tt16116174
Yp_5pDOa-o0;tt11210146
DotnJ7tTA34;tt11198330
Fqlz8QsNHC8;tt10846464
90eBBlt5-rc;tt15141288
hnR5DxP2e2g;tt9140342
iang9SWVmdI;tt8594276
PZBacZqwbCA;tt10975574
_Gr2zXuEBL0;tt14128670
K71Uv4K9YA8;tt9620288
mepeWor5JPk;tt13061914
_zUMrdXxJJA;tt13622290
lvWgNSLIULw;tt7808566
UTc5I86to_8;tt11947418
oHqfe3LcOOE;tt12585076
7GRDLX3a-IE;tt11525644
9bgVmjX86bQ;tt11394650
xFE8ASwxmpA;tt11000902
WHXq62VCaCM;tt13146488
erjDZEYaWVo;tt10569810
dBTCYk0gfsM;tt13075042
nAg6RTQEfeM;tt9170108
_wvOX4G6bgQ;tt3272066
eXteuDaI7Sk;tt22748100
ycI3odQwhE4;tt3554046
p2v7IQVSimk;tt7660850
tGh31qLBnFo;tt12545180
8f0P6iEHOrY;tt6723592
UbtNbtWqrx4;tt12762460
Gtl-6RCOl84;tt11847410
OP_WC5oOCe8;tt7569576
a45Xj7tfm8E;tt10016180
EXbCyYany34;tt8110232
JIThBMSABTo;tt10838180
S8-wM1bqfGA;tt8310612
vSiYvKJEcU8;tt14630348
jGxOken3-lc;tt11650736
pvmpxxEleQs;tt11212276
TftAFQflBy8;tt11324406
9j_StJNMtu0;tt11847842
RHq0c7TZBH0;tt15286764
clk2ClBOGTM;tt0805647
fLa_rPyz8Iw;tt8368380
6ckqcB8-apM;tt14812994
l3oWrNQo_Ng;tt2887954
g7GJCHNnOvo;tt8036272
t3aDufvQh_c;tt6075088
zRpHyvuJ__A;tt11945774
WqbWwKx1nBU;tt10244600
vM-Bja2Gy04;tt12361974
e0snO6g1tdY;tt17220704
-e_Q154xjts;tt11165358
UUcb0Iot1bQ;tt15766708
MBPzxmxf9ig;tt12408026
qzk43SX9vxg;tt15179396
2c88uLr9whE;tt12929230
BaBbd_P--JM;tt15590294
awztG587ghI;tt12736220
3sfQehgUUFQ;tt6994156
TusmSgYoDhQ;tt8416494
ooCxmWjhca8;tt11173138
FoKpTx5JPfA;tt15078488
qF0qZ0PUVcM;tt22033610
ViEKPjkjEWI;tt18332840
-ojckacr9EA;tt14599306
3FGAsgos8UE;tt7945066
Quwc1ePt6_0;tt12861470
nPcyeDstbdk;tt18950688
eyCcq-Wo_kI;tt10773194
pvm7gpkx8MI;tt15588224
cDcs6N44Aok;tt13142526
aadqaw6vy24;tt12539222
wRHRJMf6lJE;tt12708500
